resource,source_file,object_id,object_name,terraform_type,terraform_name,terraform_address,import_id,command
groups,groups.json,00g14igebdaK5gq1G698,Everyone,okta_group,everyone,okta_group.everyone,00g14igebdaK5gq1G698,terraform import okta_group.everyone 00g14igebdaK5gq1G698
groups,groups.json,00g14igebdb33vjGy698,Okta Administrators,okta_group,okta_administrators,okta_group.okta_administrators,00g14igebdb33vjGy698,terraform import okta_group.okta_administrators 00g14igebdb33vjGy698
network_zones,network_zones.json,nzo14igebhwRj6AhV698,BlockedIpZone,okta_network_zone,blockedipzone,okta_network_zone.blockedipzone,nzo14igebhwRj6AhV698,terraform import okta_network_zone.blockedipzone nzo14igebhwRj6AhV698
network_zones,network_zones.json,nzo14igebhtAoi0Yu698,DefaultEnhancedDynamicZone,okta_network_zone,defaultenhanceddynamiczone,okta_network_zone.defaultenhanceddynamiczone,nzo14igebhtAoi0Yu698,terraform import okta_network_zone.defaultenhanceddynamiczone nzo14igebhtAoi0Yu698
network_zones,network_zones.json,nzo14igjt67ygYB2A698,DefaultExemptIpZone,okta_network_zone,defaultexemptipzone,okta_network_zone.defaultexemptipzone,nzo14igjt67ygYB2A698,terraform import okta_network_zone.defaultexemptipzone nzo14igjt67ygYB2A698
network_zones,network_zones.json,nzo14igebhv0v7PHf698,LegacyIpZone,okta_network_zone,legacyipzone,okta_network_zone.legacyipzone,nzo14igebhv0v7PHf698,terraform import okta_network_zone.legacyipzone nzo14igebhv0v7PHf698
authorization_servers,authorization_servers.json,aus14igjt70jcfQm9698,default,okta_auth_server,default,okta_auth_server.default,aus14igjt70jcfQm9698,terraform import okta_auth_server.default aus14igjt70jcfQm9698
authorization_server_scopes,authorization_servers.json,scp14igjt7109Vg6t698,aus14igjt70jcfQm9698_openid,okta_auth_server_scope,aus14igjt70jcfqm9698_openid,okta_auth_server_scope.aus14igjt70jcfqm9698_openid,aus14igjt70jcfQm9698/scp14igjt7109Vg6t698,terraform import okta_auth_server_scope.aus14igjt70jcfqm9698_openid aus14igjt70jcfQm9698/scp14igjt7109Vg6t698
authorization_server_scopes,authorization_servers.json,scp14igjt72b0VxBt698,aus14igjt70jcfQm9698_profile,okta_auth_server_scope,aus14igjt70jcfqm9698_profile,okta_auth_server_scope.aus14igjt70jcfqm9698_profile,aus14igjt70jcfQm9698/scp14igjt72b0VxBt698,terraform import okta_auth_server_scope.aus14igjt70jcfqm9698_profile aus14igjt70jcfQm9698/scp14igjt72b0VxBt698
authorization_server_scopes,authorization_servers.json,scp14igjt73fbMz0D698,aus14igjt70jcfQm9698_email,okta_auth_server_scope,aus14igjt70jcfqm9698_email,okta_auth_server_scope.aus14igjt70jcfqm9698_email,aus14igjt70jcfQm9698/scp14igjt73fbMz0D698,terraform import okta_auth_server_scope.aus14igjt70jcfqm9698_email aus14igjt70jcfQm9698/scp14igjt73fbMz0D698
authorization_server_scopes,authorization_servers.json,scp14igjt74oi1h1G698,aus14igjt70jcfQm9698_address,okta_auth_server_scope,aus14igjt70jcfqm9698_address,okta_auth_server_scope.aus14igjt70jcfqm9698_address,aus14igjt70jcfQm9698/scp14igjt74oi1h1G698,terraform import okta_auth_server_scope.aus14igjt70jcfqm9698_address aus14igjt70jcfQm9698/scp14igjt74oi1h1G698
authorization_server_scopes,authorization_servers.json,scp14igjt75PGduz4698,aus14igjt70jcfQm9698_phone,okta_auth_server_scope,aus14igjt70jcfqm9698_phone,okta_auth_server_scope.aus14igjt70jcfqm9698_phone,aus14igjt70jcfQm9698/scp14igjt75PGduz4698,terraform import okta_auth_server_scope.aus14igjt70jcfqm9698_phone aus14igjt70jcfQm9698/scp14igjt75PGduz4698
authorization_server_scopes,authorization_servers.json,scp14igjt766wxDwU698,aus14igjt70jcfQm9698_offline_access,okta_auth_server_scope,aus14igjt70jcfqm9698_offline_access,okta_auth_server_scope.aus14igjt70jcfqm9698_offline_access,aus14igjt70jcfQm9698/scp14igjt766wxDwU698,terraform import okta_auth_server_scope.aus14igjt70jcfqm9698_offline_access aus14igjt70jcfQm9698/scp14igjt766wxDwU698
authorization_server_scopes,authorization_servers.json,scp14igjt77aPfjs0698,aus14igjt70jcfQm9698_device_sso,okta_auth_server_scope,aus14igjt70jcfqm9698_device_sso,okta_auth_server_scope.aus14igjt70jcfqm9698_device_sso,aus14igjt70jcfQm9698/scp14igjt77aPfjs0698,terraform import okta_auth_server_scope.aus14igjt70jcfqm9698_device_sso aus14igjt70jcfQm9698/scp14igjt77aPfjs0698
authorization_server_claims,authorization_servers.json,ocl14igjt7qQbolu9698,aus14igjt70jcfQm9698_middle_name,okta_auth_server_claim,aus14igjt70jcfqm9698_middle_name,okta_auth_server_claim.aus14igjt70jcfqm9698_middle_name,aus14igjt70jcfQm9698/ocl14igjt7qQbolu9698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_middle_name aus14igjt70jcfQm9698/ocl14igjt7qQbolu9698
authorization_server_claims,authorization_servers.json,ocl14igjt88VPKT5R698,aus14igjt70jcfQm9698_zoneinfo,okta_auth_server_claim,aus14igjt70jcfqm9698_zoneinfo,okta_auth_server_claim.aus14igjt70jcfqm9698_zoneinfo,aus14igjt70jcfQm9698/ocl14igjt88VPKT5R698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_zoneinfo aus14igjt70jcfQm9698/ocl14igjt88VPKT5R698
authorization_server_claims,authorization_servers.json,ocl14igjt862tMf6p698,aus14igjt70jcfQm9698_website,okta_auth_server_claim,aus14igjt70jcfqm9698_website,okta_auth_server_claim.aus14igjt70jcfqm9698_website,aus14igjt70jcfQm9698/ocl14igjt862tMf6p698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_website aus14igjt70jcfQm9698/ocl14igjt862tMf6p698
